file_hash,decompiled_file_name,raw_file_name,d_lookup_vs_decompiled,d_lookup_vs_repaired
00f16c285587300316a8a65311100e08dd16b619912830d1de8865ea9691e387c8d0c2835ce6ce2dd08bec8a91b705ade7c4d3766bf737e43686ed3bf8194b89,decompiled_web_application_firewall_policy.cpython-312.py,web_application_firewall_policy.py,579,3236
0121e647a2f2d677221ef7d698f6ffe1af60934b9c06c99b5e99bae18bfcb1784561e32e10676f0014aea5b4bac3978b35111b54e2cf2bc49fb7aa894e8f3eec,decompiled_sensor_parser.cpython-312.py,sensor_parser.py,1280,1410
009b1e35b56cc8dd0a9cc81ae0453e56c3629653e38a0f429335db0a01b7f583350c2b7e3cc2e54cd21f4507d967ac0c615c2e7e11f1e20d2e18d04256db59e7,decompiled_fstring_number.cpython-312.py,fstring_number.py,168,230
01c9dd071b7ef45a6ef5ecdd9b6cc6399ce4d9c3a3bee559c1156de2bc1fdfbbb9c1dfd05954c4d8bcfe6287aa5d5f67f6fa38b7a13c9a8e511a5a166b22f856,decompiled_fmgr_dvmdb_script_objectmember.cpython-312.py,fmgr_dvmdb_script_objectmember.py,986,1016
02de21b96df10a02c66ec57f41f60ec1a51e24efea88bae1cb2cca279e458405035417fb7f5af260e74dcb79d733063b7cd5483fcbda0906bfa4ccf503872a71,decompiled_watchlist.cpython-312.py,watchlist.py,2591,5486
000fd98168d54dfddb438fb3b8c0a6f7f4922b17c5428cfab190e8f07eaaf450f5d98c2b202b8b07f173f819233cd4d546e45d2d21658cc34651d491374736c0,decompiled_samplechanger.cpython-312.py,samplechanger.py,219,234
007319fd045db84560791bcf3cebca9ebb8cb0c2bd8f50ffae89939451dccd01c0136089a34f945f14a2f710267438fcf1cf07bc9a29360762a081b9dd05dc50,decompiled_event_subscription.cpython-312.py,event_subscription.py,1028,6088
009482c02c22c08724c2514da05962eb0591cba83fb7df8a3c88414f445c811cef56c5f82195a42cbe4862e3572995c93431f3d3693d76ecf04590e59a6e948f,decompiled_api_stock.cpython-312.py,api_stock.py,859,871
01dd5870fbc253eb95917c23082742564bce60fa17a92a2d621931f7a1db5803c9a6e27efc8c806b7927f1225e4581f2d44886dce52e14ae5fd47d00eaeeb582,decompiled_LaueNN_pyScript_1_or_2phase.cpython-312.py,LaueNN_pyScript_1_or_2phase.py,2500,4673
02e832cedd2ba815730008b08d9bda494e9bcdd939fa8e9a42a7931b81fc225abced1a391d107f90257746e2e131327942ffa2c102d3dfe62e6001ea53489fb7,decompiled_eovsa_imager.cpython-312.py,eovsa_imager.py,1301,1218
02ddfe82bd3389cb68ad74f2eccb7c753b8ae31b8cc378f01a9ce14b45ba3d5ac76b4d710132186163b0347cc36e660250c1aef77e06b6a123495478f19f800c,decompiled__network_management_client.cpython-312.py,_network_management_client.py,867,856
013de4c751e8225ca06516e2cefdb547d57a4fe085d8be14518601440bd65ecb404bcbe6dbf6824acc02aeda0c2fdb4a73a5e1ea611232a2ae0f532fef84f35f,decompiled_openvino_models.cpython-312.py,openvino_models.py,71,69
008ce42f16af9e6d5e2a92c94288a1a974139fed92be92401a8ca3af19e5addf473da88325a19e8fe72f9ea34b078da085172244d0cec956d0fe00ddced80153,decompiled_fortios_system_ipv6_neighbor_cache.cpython-312.py,fortios_system_ipv6_neighbor_cache.py,2161,2122
00a3d3b752325bb48a8af1fe4221545648f5b1c39fa2105d37d4b460eedd595f85d7145333c360953f9bc03dc4832c9cddf105314815e0a91f88ee8923d44de5,decompiled_uiawrapper.cpython-312.py,uiawrapper.py,529,570
02e9c1ce469025e50545b8aa19cb3488c25911a86bd0eb52c415525380c115d39fa398defe4d581232c9932a41bff7ebf532b2d65b3e76b3c4e0acca82ad3eae,decompiled_pride_month.cpython-312.py,pride_month.py,108,212
008918ff9b2c791d9d892df4f2592c9761fd2190421346a12e182f04b4890505bb14d5cc2c6d3138fdc49b1912d5b36b66de1953c3446e3622b9d18806531ba3,decompiled_service_pb2_grpc.cpython-312.py,service_pb2_grpc.py,1642,119
00eeda5f51c7f20907074312903a2191c0d614bcae96f0eb4060095066f1ae540df0e093e057271f7c8788c20bc234b21aa2ca2448358a3e9670e0b3a1ecb097,decompiled_na_ontap_qtree.cpython-312.py,na_ontap_qtree.py,751,744
02a312ca6887741ecf1e7c5c74d220f9cb31b134c8cb4c677ee8c25ef58dca022beaaaa538eacf5a51625b27e46b1dbe3a9d2a94632ddafc5b915a11a746a58b,decompiled_io_t_role.cpython-312.py,io_t_role.py,623,797
0259723cfb67adca00d7a3583351aaacff554eeac7f8e53d121e9cd9c38b016a0a92cce326192175a9e9034bfbc2173b30cee8cf27745edda40780e3db61937f,decompiled_fmgr_dvmdb_adom_objectmember.cpython-312.py,fmgr_dvmdb_adom_objectmember.py,937,933
01932649108bb64c28c0d24407da056d1a889f45112e653d0ef0e0b908a63cdf459ac5fc13807c84f83e4d6a2486b9f5b94a61ddd4e7db9c5895c74df1ff3643,decompiled_SpecialFunction.cpython-312.py,SpecialFunction.py,175,167
01ef8e4f062439d8d965fe51f25ea68f170cbe427f884a9227a6f8677d3dc09bc32179ac856d02e2fd8ae366c878f1e9dafd2092b6ad07580a51873fafe2df16,decompiled_help.cpython-312.py,help.py,384,415
00a2d340d960073eeffc108dd17e7922ade4f720775e2561f547cf18b97efb37538f182833854d2c6b0222346639f399cd615583890da7e65b1bb96d70df52cb,decompiled_lookup.cpython-312.py,lookup.py,1324,1472
006a25698892b8e90c7e1b01cf4a588dc95877aeac30becd1c702c93e3b6746474479de97467a4af4dce5ce8abab721313a5d3642e5522991cf9b3715fe0a0c0,decompiled_plan.cpython-312.py,plan.py,5869,770
028cafb9be84a8d84fa0a5ccf9434a50a77c58c7725992c3a5a572da053f317e603de78be043f9a67f58e12bf87a25a9436164376758fa7bacf80c6bbfddafc1,decompiled_test_image.cpython-312.py,test_image.py,82,82
01aea778ccd11761db6d97709b5cb059daaff9e3efd08bf94221cb043959138cbe46f59e9c5cac210bd7e23dbdfade0762c106111f18696044e0cfe736711458,decompiled_Directory.cpython-312.py,Directory.py,120,145
005258ae8977faaca393b83288e3aa65c171bf342adbd582c7ae1430c5e16b9cbdf8bbbef15f0f16e7015612959a8cb5028d1beb812fb930ce6ce8ee8d8faf46,decompiled_domains_my_support_account.cpython-312.py,domains_my_support_account.py,4133,1149
02428e489c5dd6547e36a18b74bf993005ced5fb52bb524ea5f4a94c6ef0cdcf7c2568f2d8c504c0f97012f7dd0605b89e73c521992fd1499c40af3c5a081f1a,decompiled_ec2_instance_managed_by_ssm.cpython-312.py,ec2_instance_managed_by_ssm.py,343,194
011102b3f6b0c81a9808620e002d5711134a72229a60576af410975535681bb3c234debe77c4565635e970e70da3ea00ea92464a5756c98cd31a790cd1d0c114,decompiled_DRB1_0841_9.cpython-312.py,DRB1_0841_9.py,1536,1540
0021bd4d315ab95f554dfb08cb5998f092fe4bbf71699dc8848435647e0bd4d3009d9d66c09710cdd24aa155348c997d26a43389f6b56c0453f5efd07fb2058a,decompiled_paradox.cpython-312.py,paradox.py,1230,1387
02e5568486f6e88cf905249b72d1c6050301ed177a64232de7538ebef15a90a0a16c94954d87479ac9f98364a34ed040ff1c137eda24e8e27650d471f89828b6,decompiled_entity_platform.cpython-312.py,entity_platform.py,956,884
0020a6a1e68970f08fe216cf764a2d8315d97e655b36e049680f1bf6b8bfe8f7e6216d62d0cd9efc17609bc3e403d769cbd68ba07201faf6fac7f2570ce3677b,decompiled_s3_task_handler.cpython-312.py,s3_task_handler.py,195,187
014e615d57503e1241f3f1ff03c4ca952e0c3d77eb873f44ac73897a09f439a166416abfef07d0e910fa640579237cc640e0d793de98ffc8567beedd42b32d9d,decompiled_acdc_jacobian.cpython-312.py,acdc_jacobian.py,574,261
001b56524217a45b9dfd62734ac87811c4120466d5aa51771414aa1c32df7f3bf27488328f7881f5ad019fca086c60f50f59004ad66958fb6df25b5a76d7ae31,decompiled_plus2concat.cpython-312.py,plus2concat.py,80,77
01ffe4b97b6d001ea4315b82bcba6344abc696c2b836d92aeebffd41705a9706e030a2fbf798d28c41d1b7da575dce8394c5610f579846b6e77089ac5f95b4ab,decompiled_zabbix_user.cpython-312.py,zabbix_user.py,2907,2907
024d3cfa788b775e10d80ff02bec680ad9b47ad519d3a02d67ee97b544dd9e006e1f28fc234289e5f06fcb1695624a62f5ea75153fca7f955d82b96b2ef58206,decompiled_gate.cpython-312.py,gate.py,917,1062
013e2b4cf24bb269c76de7f1680bb480a886fdbaa0faf70fe9ee36775a23d6db1467fa3824c758713981434e9dcae36cb1269354aa8281996e50c3d05edfe7fe,decompiled_Puma560.cpython-312.py,Puma560.py,1085,1083
0072951e92d6b82ffc28acb57ab2d33a7131ba580de6b04d541b77bf66fa79b9152dfe0a8a86cad07547a1d1724a4ded0d3b02d9ca218fdc686c33918a94bd5a,decompiled_allowed_request_service.cpython-312.py,allowed_request_service.py,96,179
00a6c35f4400c0579040a2e621ac9654be314c6b7f78770c13d9ea5728e976a9ede696db77f22886a7ff64816645e5fb95b65829a12a10d008f4c94bb685dfc8,decompiled_json_file.cpython-312.py,json_file.py,59,77
